"PopID" "X_Pops" "Y_Pops" "R90" "R60" "R30" "NSRangeTrans_30" "Elevation" "MAT" "MWMT" "MCMT" "TD" "log.MAP." "log.MSP." "AHM" "SHM" "DD0" "DD5" "NFFD" "bFFP" "eFFP" "FFP" "PAS" "EMT" "EXT" "Eref" "CMD"
"16" 16 130 191 TRUE FALSE FALSE 2 876.033099357086 1.80131238049619 13.5729539828767 -11.0772902739175 24.7169509047319 6.48099373983998 5.6095842956718 18.1634173066082 50.1421876050441 1263.30277173195 961.76489033946 144.346289381748 162.454252372031 250.022708621826 87.4990885414633 306.348803642241 -42.168880655531 31.7887930150453 493.532949218609 179.632776418001
"17" 17 271 205 TRUE TRUE TRUE 3 975.380086808651 1.55793509382665 14.3544833055162 -12.7160212387869 27.041794894486 6.41573872369272 5.97402291893854 19.0732595154154 37.4456879277013 1453.20762153724 1077.01232623968 149.195998526528 149.6517636872 252.505821837895 103.02495878849 175.988699072435 -44.3200509802731 31.4423109342795 493.759206591629 85.2485420156702
"18" 18 84 94 TRUE TRUE FALSE 0 1080.46503594869 2.43261490464785 13.4192996794822 -9.37943629379318 22.796538715033 6.42677392263253 5.59130923925219 21.0269585458749 52.0522066894182 1100.86517395909 991.773735973814 145.265467704586 162.188128250657 250.218898610927 87.9939776968218 254.784818980638 -40.4553956955955 32.2551410183593 526.279293647217 199.430745724812
"19" 19 153 8 TRUE TRUE FALSE 0 1212.65540240601 3.08108092005538 13.9895459106303 -7.91525409649133 21.9136122956533 6.58721987229446 5.60121433251384 19.5352329603395 54.1925965210174 960.802214490519 1064.26002628467 152.675634513613 159.448158646267 254.198716690596 94.8096584966851 334.273925273804 -38.1862256221804 32.9835074486757 551.611038405795 209.912698107403
"20" 20 170 137 TRUE FALSE FALSE 0 1118.48999258737 2.2230308424287 13.072627125901 -9.46443525789375 22.5621590307679 6.59230986677813 5.83801462155582 17.3449125227154 39.3234002213579 1105.62645976403 937.92260150816 139.772056352158 164.419647458445 247.659302893434 83.2330043557564 308.818055112274 -41.1676806173579 31.9136168975396 514.432428877698 119.160752990285
"21" 21 100 277 TRUE TRUE FALSE 0 932.689629051465 1.46590120033179 13.77368446695 -11.8296391072505 25.6025144984216 6.39540875322654 5.66873721655584 19.5049431299371 48.7085090507879 1387.72666563572 987.150807187549 145.584812675274 158.989939447902 250.496857261115 91.4466724475138 249.147534145393 -42.7182759628971 31.7178176556565 484.171107915547 157.077186659008
"22" 22 180 331 TRUE TRUE FALSE 2 869.678657416329 0.436793968400823 14.3032224514589 -15.0741590763561 29.3800531946669 6.28717503958128 5.70935070466564 19.4467218402245 48.4832589856275 1765.35788807077 1023.40858905821 142.40546643123 155.019057790287 248.296987149575 93.2088668569768 200.253695451318 -44.8128712212182 32.1821136247295 484.832179476449 143.974449612145
"23" 23 150 223 TRUE TRUE FALSE 0 973.634110361397 1.45051355504173 13.6829815193669 -11.3990820705083 25.0740479316995 6.45935970119736 5.76960784331187 18.1658894792628 43.5171890551729 1368.05667267255 970.916962581747 145.63792247194 157.868807455015 250.575883214086 92.9103356067564 259.0033787218 -42.4296563406073 31.3387438967308 479.427408887102 126.543147935805
"24" 24 25 237 TRUE TRUE FALSE 0 830.515973910888 2.27901312114031 13.7042696921109 -10.0263397631419 23.7291207747483 6.53779658280987 5.66939653078978 18.2336568148373 48.3284475648925 1167.7698524879 1017.23419788565 153.044750905762 157.455144532401 254.806770906982 97.2731020499666 287.188996922999 -40.1594628756481 31.8339986207365 496.830161160947 169.657515210359
"25" 25 19 56 TRUE TRUE FALSE 1 1062.29316735295 2.62737832908802 13.7403209946314 -9.15588222051504 22.897877093459 6.50356862458153 5.65982854084975 19.8022390314071 49.7455013010693 1086.63195872614 1037.11809956351 152.074336665019 158.27978012663 253.249389813442 94.9699666270275 266.444780517971 -39.6790145653757 32.348805013579 525.881987824003 181.270315080501
